Object,Hard Required Fields,Optional / Extensible Fields,Ownership Rule,Why
Memory Envelope,id; memory_type; scope_id; content_ref; provenance_ref; created_at,importance; status; expires_at; metadata,Canonical in relational store; graph is projection,Common envelope without forcing identical semantic shape
Claim,claim_id; text; claim_type; provenance_refs; status,confidence; subject/predicate/object; qualifiers; tags,Knowledge Memory owns claim,Claims must be provenance-aware
Evidence,evidence_id; source_id; locator; content_ref; evidence_type; status,quote; page; timestamp; confidence; checksum,Source Memory owns underlying evidence; Evidence State owns status,Citation/provenance without a separate citation graph
Research Task,task_id; objective; status; parent_task_id; created_at,priority; dependencies; assigned_to; budget; result_refs,Task State owns lifecycle,Allows parallel/retryable research
Research Run,run_id; research_id; status; started_at; workflow_version,model_id; cost; stop_reason; parent_run_id,Run State owns checkpoint,Stable execution envelope
Graph Node,node_id; object_id; node_type; graph_id,label; summary; status; display_metadata,Graph is projection,Avoid duplicate source of truth
Graph Edge,edge_id; graph_id; source_node_id; target_node_id; relation_type; created_at,confidence; provenance_refs; valid_from; valid_to; metadata,Graph projection,Keeps ontology explicit
Event,event_id; type; aggregate_id; timestamp; actor; schema_version,payload; correlation_id; causation_id,Append-only event log,Foundation of state history and audit
Commit,commit_id; parent_id; actor; created_at; message; change_set_ref,branch; merge_parent; tags; snapshot_ref,Immutable version store,Git-like research history
Artifact,artifact_id; type; uri; checksum; status; created_at,title; mime_type; version; provenance_refs; build_ref,Artifact Registry,Generated outputs remain first-class and versionable
